id,year,brand,title,old_industry,reason
2025-aeromexicanos-aeromexicanos,2025,AEROMEXICANOS,AEROMEXICANOS,airlines,no_airline_signal
2025-bark-air-launch-bark-air,2025,BARK AIR,BARK AIR LAUNCH,airlines,no_airline_signal
2025-dove-love-your-hair-unilever,2025,UNILEVER,DOVE LOVE YOUR HAIR,airlines,no_airline_signal
2024-contrails-making-flying-more-sustainable-with-google-ai-google-mountain-view,2024,GOOGLE MOUNTAIN VIEW,CONTRAILS: MAKING FLYING MORE SUSTAINABLE WITH GOOGLE AI,airlines,no_airline_signal
2024-flying-guardians-planet-labs-pbc-greenpeace,2024,PLANET LABS PBC & GREENPEACE,FLYING GUARDIANS,airlines,no_airline_signal
2024-the-flying-train-a-magnetic-story-siemens-healthineers,2024,SIEMENS HEALTHINEERS,"THE FLYING TRAIN, A MAGNETIC STORY",airlines,no_airline_signal
2023-das-chair-volkswagen-commercial-vehicles,2023,VOLKSWAGEN COMMERCIAL VEHICLES,DAS CHAIR,airlines,no_airline_signal
2023-eart4-b3-stock-exchange-united-nations-global-compact,2023,B3 STOCK EXCHANGE & UNITED NATIONS GLOBAL COMPACT,EART4,airlines,no_airline_signal
2023-the-undeniable-street-view-united24-nova-ukraine-voices-of-children-boctok-sos,2023,"UNITED24 NOVA UKRAINE VOICES OF CHILDREN, BOCTOK SOS",THE UNDENIABLE STREET VIEW,airlines,hard_false_pattern
2023-untangling-the-politics-of-hair-stir,2023,STIR,UNTANGLING THE POLITICS OF HAIR,airlines,no_airline_signal
2019-air-max-graffiti-stores-nike,2019,NIKE,AIR MAX GRAFFITI STORES,airlines,hard_false_pattern
2019-air-time-sickkids,2019,SICKKIDS,AIR TIME,airlines,hard_false_pattern
2019-discover-your-air-foot-locker,2019,FOOT LOCKER,DISCOVER YOUR AIR,airlines,hard_false_pattern
2019-legs-to-fly-espn,2019,ESPN,LEGS TO FLY,airlines,no_airline_signal
2019-no-need-to-fly-german-rail,2019,GERMAN RAIL,NO NEED TO FLY,airlines,no_airline_signal
2019-the-firefly-bradesco,2019,BRADESCO,THE FIREFLY,airlines,no_airline_signal
