id,case_name,brand,ad_agency,year,link_class,http_status,issue_note,outbound_url,audited_url,final_url,source_url,thumbnail_url,award_tier,award_category,category_bucket
2024-don-t-drink-hertog-jan-hertog-jan,DON’T DRINK HERTOG JAN,HERTOG JAN,GUT AMSTERDAM,2024,dead,0,network_error,https://www.unblock.coffee/campaign/dont-drink-hertog-jan/,https://www.unblock.coffee/campaign/dont-drink-hertog-jan/,https://www.unblock.coffee/campaign/dont-drink-hertog-jan/,https://lovetheworkmore.com/2024-2/,https://www.unblock.coffee/wp-content/uploads/2024/07/Dont-drink-Hertog-Jan.webp,Silver,,
2024-heineken-heidden-in-plain-sight-heineken,HEINEKEN HEIDDEN IN PLAIN SIGHT,HEINEKEN,LEO BURNETT MALAYSIA,2024,dead,404,http_error,https://activationideas.com/blog/heidden-in-plain-sight,https://activationideas.com/blog/heidden-in-plain-sight,https://activationideas.com/blog/heidden-in-plain-sight,https://lovetheworkmore.com/2024-2/,https://image.thum.io/get/width/1200/noanimate/https%3A%2F%2Fwww.dandad.org%2Fawards%2Fprofessional%2F2024%2F238373%2Fh150-anniversary%2F,Bronze,,
2024-kiki-virtual-human-interpreter-nhk-enterprises,"KIKI, VIRTUAL HUMAN INTERPRETER",NHK ENTERPRISES,MEDIA.MONKS HILVERSUM,2024,dead,404,http_error,https://clios.com/health/winner/creative-use-of-data-consumer-brand-health-initiat/nhk-enterprises-nhk-global-media-services/kiki-virtual-human-interpreter-523446,https://clios.com/health/winner/creative-use-of-data-consumer-brand-health-initiat/nhk-enterprises-nhk-global-media-services/kiki-virtual-human-interpreter-523446,https://clios.com/health/winner/creative-use-of-data-consumer-brand-health-initiat/nhk-enterprises-nhk-global-media-services/kiki-virtual-human-interpreter-523446,https://lovetheworkmore.com/2024-2/,https://i.ytimg.com/vi/wwC0g6iErxc/maxresdefault.jpg,Silver,HEALTH CREATIVE USE OF DATA CONSUMER BRAND HEALTH INITIAT,Health
super-bowl-2024-ispot-67ka,Mr. P,Pringles,,2024,unavailable,200,youtube_unavailable_404,https://www.youtube.com/watch?v=bB8y8dlDlFE,https://www.youtube.com/watch?v=bB8y8dlDlFE,https://www.youtube.com/watch?v=bB8y8dlDlFE,https://www.ispot.tv/events/2024-super-bowl-commercials,https://d3ds6z1w6yhmzj.cloudfront.net/img/superbowl/super-bowl-ad-center-share-2024.png?v=2,Super Bowl,Super Bowl Ads,Super Bowl
2024-reef-relief-stream2sea,REEF RELIEF,STREAM2SEA,MCCANN DEMAND LONDON,2024,dead,404,http_error,https://www.fredcorazza.com/reef-relief,https://www.fredcorazza.com/reef-relief,https://www.fredcorazza.com/reef-relief,https://lovetheworkmore.com/2024-2/,https://images.ctfassets.net/vjs6vfoxg7y6/7dKYWcFWvvCONLazNxq8FM/736e8a49062678a4686b26b15eee2654/image1.webp?w=1168,Bronze,,
2024-the-big-shake-up-aktion-deutschland-hilft,THE BIG SHAKE UP,AKTION DEUTSCHLAND HILFT,HAVAS DUSSELDORF,2024,dead,403,http_error,https://lbbonline.com/work/108427,https://lbbonline.com/work/108427,https://lbbonline.com/work/108427,https://lovetheworkmore.com/2024-2/,https://image.thum.io/get/width/1200/noanimate/https%3A%2F%2Flbbonline.com%2Fwork%2F108427,Gold,,
2024-tres-reinserta,TRES,REINSERTA,GREY MEXICO,2024,dead,404,http_error,https://clios.com/awards/winner/film/reinserta/tres-512121,https://clios.com/awards/winner/film/reinserta/tres-512121,https://clios.com/awards/winner/film/reinserta/tres-512121,https://lovetheworkmore.com/2024-2/,https://image.thum.io/get/width/1200/noanimate/https%3A%2F%2Fclios.com%2Fawards%2Fwinner%2Ffilm%2Freinserta%2Ftres-512121,Silver,FILM,Film
2024-unsilence-the-violence-terre-des-femmes,UNSILENCE THE VIOLENCE,TERRE DES FEMMES,SCHOLZ & FRIENDS HAMBURG,2024,dead,0,network_error,https://michaelyousaf.de/portfolio/ewan/,https://michaelyousaf.de/portfolio/ewan/,https://michaelyousaf.de/portfolio/ewan/,https://lovetheworkmore.com/2024-2/,https://studymoose.com/wp-content/uploads/essay-thumbnails/anti-domestic-violence-poster-campaign-by-terre-des-femmes-post-preview.webp,Bronze,,
2023-unexaminable-the-vif-network,#UNEXAMINABLE,THE VIF NETWORK,DDB ROMANIA BUCHAREST,2023,dead,404,http_error,https://www.roxananita.com/vif-unexaminable,https://www.roxananita.com/vif-unexaminable,https://www.roxananita.com/vif-unexaminable,https://lovetheworkmore.com/2023-2/,https://img.freepik.com/premium-photo/marketing-campaign-case-study_1029473-216235.jpg,Silver,,
2023-alibaba-health-font-alibaba-health,ALIBABA HEALTH FONT,ALIBABA HEALTH,ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED BEIJING,2023,dead,0,network_error,https://www.unblock.coffee/campaign/alibaba-health-font/,https://www.unblock.coffee/campaign/alibaba-health-font/,https://www.unblock.coffee/campaign/alibaba-health-font/,https://lovetheworkmore.com/2023-2/,https://www.unblock.coffee/wp-content/uploads/2023/06/Alibaba-Health-Font.png,Bronze,,
