id,year,brand,title,agency,current_outbound_url,query,best_score,best_video_url,best_video_title,best_thumbnail_url
2024-don-t-drink-hertog-jan-hertog-jan,2024,HERTOG JAN,DON’T DRINK HERTOG JAN,GUT AMSTERDAM,https://www.youtube.com/watch?v=pn80885I5OY,DON’T DRINK HERTOG JAN HERTOG JAN 2024 case study,0.5714,https://www.youtube.com/watch?v=pn80885I5OY,HERTOG JAN - DON’T DRINK HERTOG JAN (Case Study)  Campaign,https://i.ytimg.com/vi/pn80885I5OY/hqdefault.jpg
2024-kiki-virtual-human-interpreter-nhk-enterprises,2024,NHK ENTERPRISES,"KIKI, VIRTUAL HUMAN INTERPRETER",MEDIA.MONKS HILVERSUM,https://clios.com/health/winner/creative-use-of-data-consumer-brand-health-initiat/nhk-enterprises-nhk-global-media-services/kiki-virtual-human-interpreter-523446,"KIKI, VIRTUAL HUMAN INTERPRETER NHK ENTERPRISES 2024 case study",0.1,https://www.youtube.com/watch?v=O6Es6CnRiD8,Deaf Voice: A Sign-Language Interpreter in Court - Disability (Scripted),https://i.ytimg.com/vi/O6Es6CnRiD8/hqdefault.jpg
2024-the-big-shake-up-aktion-deutschland-hilft,2024,AKTION DEUTSCHLAND HILFT,THE BIG SHAKE UP,HAVAS DUSSELDORF,https://lbbonline.com/work/108427,THE BIG SHAKE UP AKTION DEUTSCHLAND HILFT 2024 case study,0.2222,https://www.youtube.com/watch?v=zlm-er_nOPg,'The sound of opportunity' | Great Campaign Hero Video | International Investment Summit 2024,https://i.ytimg.com/vi/zlm-er_nOPg/hqdefault.jpg
2024-tres-reinserta,2024,REINSERTA,TRES,GREY MEXICO,https://clios.com/awards/winner/film/reinserta/tres-512121,TRES REINSERTA 2024 case study,0,https://www.youtube.com/watch?v=HD5vi9QgmbU,What is a Case Study? (3 Minute Explanation),https://i.ytimg.com/vi/HD5vi9QgmbU/hqdefault.jpg
super-bowl-2024-ispot-67ka,2024,Pringles,Mr. P,,https://www.youtube.com/watch?v=cZJ8RSIxDOY,Mr. P Pringles 2024 case study,0.25,https://www.youtube.com/watch?v=QZbYBAJjxkI,Pringles Case Study,https://i.ytimg.com/vi/QZbYBAJjxkI/hqdefault.jpg
2023-pure-waste-ssab,2023,SSAB,PURE WASTE,FORSMAN & BODENFORS GOTHENBURG,https://carllauren.com/project/pure-waste,PURE WASTE SSAB 2023 case study,0.1429,https://www.youtube.com/watch?v=RMiDOMZ7h_Q,Research Case Study: Silverwoods Waste Management,https://i.ytimg.com/vi/RMiDOMZ7h_Q/hqdefault.jpg
2023-she-j-b,2023,J&B,SHE,EL RUSO DE ROCKY MADRID,https://clios.com/awards/winner/film/j-b/she-135959,SHE J&B 2023 case study,0.2,https://www.youtube.com/watch?v=oOVVgEtuybk,"J\u0026B - She, un cuento de J\u0026B, English subs (\",https://i.ytimg.com/vi/oOVVgEtuybk/hqdefault.jpg
2023-the-green-search-andel,2023,ANDEL,THE GREEN SEARCH,ROBERT/BOISEN & LIKE-MINDED COPENHAGEN,https://rblm.dk/our-work/the-green-search,THE GREEN SEARCH ANDEL 2023 case study,0.2,https://www.youtube.com/watch?v=hXJ2iPoWMb8,What's The Weather Like Today? Part 2 #short #shorts #youtuber #fitness,https://i.ytimg.com/vi/hXJ2iPoWMb8/hqdefault.jpg
2023-thumbstopping-beauty-biases-dove,2023,DOVE,THUMBSTOPPING BEAUTY BIASES,MINDSHARE INDIA MUMBAI,https://www.mindshareworld.com/work/dove-thumbstopping-beauty-biases,THUMBSTOPPING BEAUTY BIASES DOVE 2023 case study,0.25,https://www.youtube.com/watch?v=8vYoL8nga-A,Dove - Real Beauty Redefined for the AI Era (case study),https://i.ytimg.com/vi/8vYoL8nga-A/hqdefault.jpg
2022-future-2021-the-concept-eqg-mercedes-benz,2022,MERCEDES BENZ,“FUTURE 2021”: THE CONCEPT EQG,ANTONI HOLDING GMBH BERLIN,https://www.youtube.com/watch?v=if-4pPa7KGw,“FUTURE 2021”: THE CONCEPT EQG MERCEDES BENZ 2022 case study,,,,
