id,year,brand,title,agency,current_url,query,best_adsspot_url,best_score,candidate_2,candidate_3,candidate_count
2022-we-will-become-better-lgbtnet-org,2022,LGBTNET.ORG,WE WILL BECOME BETTER,HALAL AMSTERDAM,https://www.youtube.com/watch?v=hGRkKVPpcvU,WE WILL BECOME BETTER LGBTNET.ORG 2022 site:adsspot.me/media,https://adsspot.me/media/tv-commercials/chef-boyardee-canned-food-never-outgrow-campaign-bcff42419b22,0,https://adsspot.me/media/tv-commercials/un-women-if-gender-bias-begins-with-us-it-can-end-with-us-7928c1162f64,https://adsspot.me/media/design/east-meets-west-foundation-soap-fountain-%7Bimage%7D-56a086e2fadb,4
2019-an-post-address-point,2019,ADDRESS POINT,AN POST,WUNDERMAN THOMPSON DUBLIN,http://post/address-point-pointing-a-way-back-home-for-ireland-67773,AN POST ADDRESS POINT 2019 site:adsspot.me/media,https://adsspot.me/media/tv-commercials/an-post-address-point-pointing-a-way-back-home-1a24626e500c,0.7286,https://adsspot.me/media/case-study/an-post-foreign-exchange-80427f9e17ee,https://adsspot.me/media/viral,10
2019-blink-test-jimmy-nelson-foundation,2019,JIMMY NELSON FOUNDATION,BLINK TEST,WUNDERMAN THOMPSON MUMBAI,https://www.youtube.com/watch?v=YCT6HzTqEmo,BLINK TEST JIMMY NELSON FOUNDATION 2019 site:adsspot.me/media,,,,,0
2019-block-wish-hok-elanto,2019,HOK-ELANTO,BLOCK WISH,,https://clios.com/awards/winner/digital-mobile-social-media-technique/alepa/block-wish-49298,BLOCK WISH HOK-ELANTO 2019 site:adsspot.me/media,,,,,0
2019-cards-of-knowledgement-miscarriage-association,2019,MISCARRIAGE ASSOCIATION,CARDS OF KNOWLEDGEMENT,MCCANN LONDON,https://creativepool.com/mrmlondon/projects/cards-of-acknowledgement-for-miscarriage-association-,CARDS OF KNOWLEDGEMENT MISCARRIAGE ASSOCIATION 2019 site:adsspot.me/media,,,,,0
2019-contract-translator-reclame-aqui,2019,RECLAME AQUI,CONTRACT TRANSLATOR,GREY SÃO PAULO,https://sites.wpp.com/wppedcream/2019/advertising/promo_and_activation/contract-translator,CONTRACT TRANSLATOR RECLAME AQUI 2019 site:adsspot.me/media,,,,,0
2019-dollar-agony-ripio,2019,RIPIO,DOLLAR AGONY,VMLY&R BUENOS AIRES,https://sites.wpp.com/wppedcream/2019/advertising/radio/dollar-agony?c=5e3417d9-cc54-4fa9-84d7-bd8a923a09ff,DOLLAR AGONY RIPIO 2019 site:adsspot.me/media,,,,,0
2019-e-quality-telefonica-brasil-s-a,2019,TELEFONICA BRASIL S.A.,E-QUALITY,VMLY&R SÃO PAULO,https://www.vmlyr.com/work/vivo-telefonica-brasil-e-quality,E-QUALITY TELEFONICA BRASIL S.A. 2019 site:adsspot.me/media,,,,,0
2019-nationalroastday-wendy-s,2019,WENDY’S,#NATIONALROASTDAY,VMLY&R KANSAS,https://www.vmlyr.com/work/nationalroastday,#NATIONALROASTDAY WENDY’S 2019 site:adsspot.me/media,,,,,0
2019-pass-the-bill-leaf-forward,2019,LEAF FORWARD,PASS THE BILL,RETHINK TORONTO,https://clios.com/awards/winner/innovation/leaf-forward/pass-the-bill-68582,PASS THE BILL LEAF FORWARD 2019 site:adsspot.me/media,,,,,0
2019-pride-shield-mergence-foundation,2019,ÉMERGENCE FOUNDATION,PRIDE SHIELD,RETHINK MONTREAL,https://www.youtube.com/watch?v=5GpbjNjq2Fw,PRIDE SHIELD ÉMERGENCE FOUNDATION 2019 site:adsspot.me/media,,,,,0
2019-rearranged-queens-berliner-philharmoniker,2019,BERLINER PHILHARMONIKER,REARRANGED QUEENS,SCHOLZ & FRIENDS BERLIN,https://clios.com/awards/winner/out-of-home/berliner-philharmoniker/rearranged-1-70963,REARRANGED QUEENS BERLINER PHILHARMONIKER 2019 site:adsspot.me/media,,,,,0
2019-squarespace-make-it-squarespace,2019,SQUARESPACE,SQUARESPACE MAKE IT,MJZ LOS ANGELES,https://clios.com/awards/winner/film/squarespace/make-it-72251,SQUARESPACE MAKE IT SQUARESPACE 2019 site:adsspot.me/media,,,,,0
2019-the-8-city-of-no-cars-bmv,2019,CITY OF NO CARS – BMV,THE 8,SERVICEPLAN MUNICH,https://clios.com/awards/winner/film-technique-cinematography/bmw/the-8-city-of-no-cars-70803,THE 8 CITY OF NO CARS – BMV 2019 site:adsspot.me/media,,,,,0
2019-the-commercial-that-saves-lives-ministerio-de-salud-chile,2019,MINISTERIO DE SALUD CHILE,THE COMMERCIAL THAT SAVES LIVES,VMLY&R SANTIAGO,https://www.vmlyr.com/work/ministerio-de-salud-chile-commercial-saves-lives,THE COMMERCIAL THAT SAVES LIVES MINISTERIO DE SALUD CHILE 2019 site:adsspot.me/media,,,,,0
2019-tourists-volkswagen,2019,VOLKSWAGEN,TOURISTS,BBDO SÃO PAULO,https://carlosyanke.work/Park-Assist,TOURISTS VOLKSWAGEN 2019 site:adsspot.me/media,,,,,0
2018-ake-demo-dir-komson,2018,DIR. KOMSON,AKE DEMO,SUNETA HOUSE BANGKOK,http://sunetahouse.com/video/226289889,AKE DEMO DIR. KOMSON 2018 site:adsspot.me/media,,,,,0
2018-america-just-like-the-movies-norwegian-air,2018,NORWEGIAN AIR,AMERICA. JUST LIKE THE MOVIES.,TRY OSLO,https://www.youtube.com/watch?v=CXFMQss33CQ&ab_channel=GREATADS%26LESSGREATADS%28BUTSTILLOK%29,AMERICA. JUST LIKE THE MOVIES. NORWEGIAN AIR 2018 site:adsspot.me/media,,,,,0
2018-beware-the-dangers-of-almost-the-same-toyota,2018,TOYOTA,BEWARE THE DANGERS OF ALMOST THE SAME,TOYOTA PALMERSTON NORTH,http://jakeandjoshcreative.com/beware-the-dangers-of-almost-the-same-1,BEWARE THE DANGERS OF ALMOST THE SAME TOYOTA 2018 site:adsspot.me/media,,,,,0
2018-boxes-uber,2018,UBER,BOXES,FORSMAN & BODENFORS GOTHENBURG,https://forsman.co/work/uber/boxes,BOXES UBER 2018 site:adsspot.me/media,,,,,0
2018-breathing-life-into-transit-ads-altered-carbon-netflix,2018,ALTERED CARBON NETFLIX,BREATHING LIFE INTO TRANSIT ADS,MEDIAHUB BOSTON,https://vimeopro.com/mullenlowegroup/cannes-lions-2018-winners/video/276851263,BREATHING LIFE INTO TRANSIT ADS ALTERED CARBON NETFLIX 2018 site:adsspot.me/media,,,,,0
2018-bring-back-your-smile-colgate,2018,COLGATE,BRING BACK YOUR SMILE,RED FUSE PARIS,https://www.adruby.com/print-ads/colgate-bring-back-your-white-smile,BRING BACK YOUR SMILE COLGATE 2018 site:adsspot.me/media,,,,,0
2018-carsales-autoads-carsales-com-au,2018,CARSALES.COM.AU,CARSALES AUTOADS,PROXIMITY MELBOURNE,https://clios.com/awards/winner/branded-content/carsales-com-au/autoads-43624,CARSALES AUTOADS CARSALES.COM.AU 2018 site:adsspot.me/media,,,,,0
2018-chatty-school-bus-hyundai,2018,HYUNDAI,CHATTY SCHOOL BUS,INNOCEAN SEOUL,https://clios.com/awards/winner/public-relations/hyundai-motor-company/chatty-school-bus-51247,CHATTY SCHOOL BUS HYUNDAI 2018 site:adsspot.me/media,,,,,0
2018-cheetos-museum-frito-lay,2018,FRITO LAY,CHEETOS MUSEUM,GOODBY SILVERSTEIN & PARTNERS SAN FRANCISCO,https://clios.com/awards/winner/events-experiential/cheetos/cheetos-museum-21652,CHEETOS MUSEUM FRITO LAY 2018 site:adsspot.me/media,,,,,0
2018-christmas-2117-edeka,2018,EDEKA,CHRISTMAS 2117,JUNG VON MATT HAMBURG,https://clios.com/awards/winner/film-technique-visual-effects/edeka/christmas-2117-38347,CHRISTMAS 2117 EDEKA 2018 site:adsspot.me/media,,,,,0
2018-cliffside-shop-37-5-technology,2018,37.5 TECHNOLOGY,CLIFFSIDE SHOP,WORKINPROGRESS BOULDER,https://clios.com/awards/winner/out-of-home/37-5-technology/cliffside-shop-39832,CLIFFSIDE SHOP 37.5 TECHNOLOGY 2018 site:adsspot.me/media,,,,,0
2018-coma-mini-series-getty-images-almapbbdo,2018,GETTY IMAGES (ALMAPBBDO,COMA MINI SERIES,,https://pedrocorbett.com/getty-images-coma-miniseries,COMA MINI SERIES GETTY IMAGES (ALMAPBBDO 2018 site:adsspot.me/media,,,,,0
2018-coverage-coalition-get-america-covered,2018,GET AMERICA COVERED,COVERAGE COALITION,BARTON F GRAF NEW YORK,https://clios.com/awards/winner/public-relations/get-america-covered/coverage-coalition-49303,COVERAGE COALITION GET AMERICA COVERED 2018 site:adsspot.me/media,,,,,0
2018-destination-pride-pflag-canada,2018,PFLAG CANADA,DESTINATION PRIDE,FCB/SIX TORONTO,https://clios.com/awards/winner/digital-mobile/pflag-canada/destination-pride-47165,DESTINATION PRIDE PFLAG CANADA 2018 site:adsspot.me/media,,,,,0
