id,title,agency,year,candidate_title,adsspot_url,title_score
2018-carsales-autoads-carsales-com-au,CARSALES AUTOADS,PROXIMITY MELBOURNE,2018,carsales AutoAds [image] 1,https://adsspot.me/media/digital/carsales-carsales-autoads-image-1-f5e216228b6c,0.6666666666666666
2018-the-price-of-equality-scotiabank,THE PRICE OF EQUALITY,WUNDERMAN LIMA,2018,The Price,https://adsspot.me/media/tv-commercials/honda-the-price-0eb822e51e4d,0.6666666666666666
2010-polar-bear-plane-stupid,POLAR BEAR,MOTHER LONDON,2010,Milkana Polar Bear,https://adsspot.me/media/tv-commercials/milkana-milkana-polar-bear-138a730f9fc1,0.6666666666666666
2018-chatty-school-bus-hyundai,CHATTY SCHOOL BUS,INNOCEAN SEOUL,2018,Chatty School Bus [supporting image] 2,https://adsspot.me/media/prints/hyundai-chatty-school-bus-supporting-image-2-7a158fc052f6,0.6
2018-disappearing-person-alerts-queensland-police,DISAPPEARING PERSON ALERTS,DENTSU MELBOURNE,2018,"Disappearing Person Alerts [Supporting Images], 4",https://adsspot.me/media/digital/queensland-government-disappearing-person-alerts-supporting-images-4-09bebf6bdb33,0.6
2019-the-8-city-of-no-cars-bmv,THE 8,SERVICEPLAN MUNICH,2019,The Keys,https://adsspot.me/media/tv-commercials/seloger-the-keys-ddf83c7b25c8,0.5
2018-cheetos-museum-frito-lay,CHEETOS MUSEUM,GOODBY SILVERSTEIN & PARTNERS SAN FRANCISCO,2018,Museum,https://adsspot.me/media/tv-commercials/australian-government-museum-cd367e1f8c4a,0.5
2018-cliffside-shop-37-5-technology,CLIFFSIDE SHOP,WORKINPROGRESS BOULDER,2018,HI SA TI Shop,https://adsspot.me/media/tv-commercials/krungthai-bank-hi-sa-ti-shop-33b9df6118bb,0.5
2018-destination-pride-pflag-canada,DESTINATION PRIDE,FCB/SIX TORONTO,2018,Destination Pride [supporting content] 4,https://adsspot.me/media/digital/pflag-canada-destination-pride-supporting-content-4-48112e05cdff,0.5
2018-edeka-2117-edeka-zentrale-ag-co-kg,EDEKA 2117,MPC LONDON,2018,Edeka,https://adsspot.me/media/tv-commercials/edeka-edeka-c872b142d22b,0.5
