case_name,year,outbound_url,audited_url,final_url
TIKTOK TEACHERS,2022,https://www.youtube.com/watch?v=Pcf7EFVIH6A&ab_channel=DDBLatina,https://www.youtube.com/watch?v=Pcf7EFVIH6A&ab_channel=DDBLatina,https://www.youtube.com/watch?v=Pcf7EFVIH6A&ab_channel=DDBLatina
WE WILL BECOME BETTER,2022,https://www.youtube.com/watch?v=hGRkKVPpcvU,https://www.youtube.com/watch?v=hGRkKVPpcvU,https://www.youtube.com/watch?v=hGRkKVPpcvU
9.58 SECONDS: THE WORLD’S FASTEST ANNUAL REPORT,2019,https://clios.com/awards/winner/digital-mobile-social-media-technique/puma-se/9-58-seconds-the-world-s-fastest-annual-report-69437,https://clios.com/awards/winner/digital-mobile-social-media-technique/puma-se/9-58-seconds-the-world-s-fastest-annual-report-69437,https://clios.com/awards/winner/digital-mobile-social-media-technique/puma-se/9-58-seconds-the-world-s-fastest-annual-report-69437
AN POST,2019,http://post/address-point-pointing-a-way-back-home-for-ireland-67773,http://post/address-point-pointing-a-way-back-home-for-ireland-67773,http://post/address-point-pointing-a-way-back-home-for-ireland-67773
BEHIND THE MAC,2019,https://www.youtube.com/watch?v=Ny-MGNf301k&ab_channel=AppleUK,https://www.youtube.com/watch?v=Ny-MGNf301k&ab_channel=AppleUK,https://www.youtube.com/watch?v=Ny-MGNf301k&ab_channel=AppleUK
BLINK TEST,2019,https://www.youtube.com/watch?v=YCT6HzTqEmo,https://www.youtube.com/watch?v=YCT6HzTqEmo,https://www.youtube.com/watch?v=YCT6HzTqEmo
BLOCK WISH,2019,https://clios.com/awards/winner/digital-mobile-social-media-technique/alepa/block-wish-49298,https://clios.com/awards/winner/digital-mobile-social-media-technique/alepa/block-wish-49298,https://clios.com/awards/winner/digital-mobile-social-media-technique/alepa/block-wish-49298
CARDS OF KNOWLEDGEMENT,2019,https://creativepool.com/mrmlondon/projects/cards-of-acknowledgement-for-miscarriage-association-,https://creativepool.com/mrmlondon/projects/cards-of-acknowledgement-for-miscarriage-association-,https://creativepool.com/mrmlondon/projects/cards-of-acknowledgement-for-miscarriage-association-
CONTRACT TRANSLATOR,2019,https://sites.wpp.com/wppedcream/2019/advertising/promo_and_activation/contract-translator,https://sites.wpp.com/wppedcream/2019/advertising/promo_and_activation/contract-translator,https://sites.wpp.com/wppedcream/2019/advertising/promo_and_activation/contract-translator
DOLLAR AGONY,2019,https://sites.wpp.com/wppedcream/2019/advertising/radio/dollar-agony?c=5e3417d9-cc54-4fa9-84d7-bd8a923a09ff,https://sites.wpp.com/wppedcream/2019/advertising/radio/dollar-agony?c=5e3417d9-cc54-4fa9-84d7-bd8a923a09ff,https://sites.wpp.com/wppedcream/2019/advertising/radio/dollar-agony?c=5e3417d9-cc54-4fa9-84d7-bd8a923a09ff
E-QUALITY,2019,https://www.vmlyr.com/work/vivo-telefonica-brasil-e-quality,https://www.vmlyr.com/work/vivo-telefonica-brasil-e-quality,https://www.vml.com/work
IN THE LONG RUN,2019,,https://clios.com/awards/winner/film-technique-music-licensed/mercedes-benz/in-the-long-run-60254,https://clios.com/awards/winner/film-technique-music-licensed/mercedes-benz/in-the-long-run-60254
LESSONS FOR GOOD,2019,https://clios.com/awards/winner/experiential-events/leroy-merlin/lessons-for-good-72287,https://clios.com/awards/winner/experiential-events/leroy-merlin/lessons-for-good-72287,https://clios.com/awards/winner/experiential-events/leroy-merlin/lessons-for-good-72287
MIND THE GAP,2019,,https://clios.com/awards/winner/public-relations/berliner-verkehrsbetriebe/mind-the-gap-63083,https://clios.com/awards/winner/public-relations/berliner-verkehrsbetriebe/mind-the-gap-63083
#NATIONALROASTDAY,2019,https://www.vmlyr.com/work/nationalroastday,https://www.vmlyr.com/work/nationalroastday,https://www.vml.com/work
