id,case_name,brand,agency,year,current_award_category,current_category_bucket,suggested_category_bucket,confidence,evidence_signal,outbound_url,source_url
2000-cat-herders-eds,CAT HERDERS,EDS,FALLON NEW YORK,2000,,,Film,0.45,fallback_default,https://adland.tv/adnews/eds-cat-herders-2000-060-usa?page=1,https://lovetheworkmore.com/2000-2/
2000-launch-a-shameful-legacy-stamps-com,LAUNCH,A SHAMEFUL LEGACY – STAMPS.COM,WIEDEN+KENNEDY PORTLAND,2000,,,Film,0.45,fallback_default,https://pytka.com/stamps-a-shameful-legacy/,https://lovetheworkmore.com/2000-2/
2000-mettman-s-350-stamps-com,METTMAN S-350,STAMPS.COM,WIEDEN+KENNEDY PORTLAND,2000,,,Film,0.45,fallback_default,https://pytka.com/stampscom-mettman-s-350-30/,https://lovetheworkmore.com/2000-2/
2000-milk-fox-network,MILK,FOX NETWORK,CLIFF FREEMAN & PARTNERS NEW YORK,2000,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.luerzersarchive.com/en/magazine/commercial-detail/fox-sports-26271.html,https://lovetheworkmore.com/2000-2/
2000-nature-channel-fox-network,NATURE CHANNEL,FOX NETWORK,CLIFF FREEMAN & PARTNERS NEW YORK,2000,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.luerzersarchive.com/en/magazine/commercial-detail/fox-sports-26272.html,https://lovetheworkmore.com/2000-2/
2000-ranger-budget,RANGER,BUDGET,CLIFF FREEMAN & PARTNERS NEW YORK,2000,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.luerzersarchive.com/en/magazine/commercial-detail/budget-car-rental-26285.html,https://lovetheworkmore.com/2000-2/
2000-the-running-woman-wowow,THE RUNNING WOMAN,WOWOW,DENTSU TOKYO,2000,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.luerzersarchive.com/en/magazine/commercial-detail/wowow-26420.html,https://lovetheworkmore.com/2000-2/
2001-10socks-10socks-com,10SOCKS,10SOCKS.COM,BBDO DENMARK COPENHAGEN,2001,,,Digital,0.85,\b(digital|interactive|website|web|app|mobile)\b,https://www.oneclub.org/awards/theoneshow/-award/2892/10socks,https://lovetheworkmore.com/2001-2/
2001-absolut-la-absolut-vodka,ABSOLUT LA,ABSOLUT VODKA,TBWA\CHIAT\DAYNEW YORK,2001,,,Other,0.75,\b(outdoor|ooh|out-of-home|out of home)\b,https://www.oneclub.org/awards/theoneshow/-award/704/absolut-la,https://lovetheworkmore.com/2001-2/
2001-ant-matchbox,ANT,MATCHBOX,OGILVY SÃO PAULO,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=CjB3eqBn4k8,https://lovetheworkmore.com/2001-2/
2001-bathroom-ikea,BATHROOM,IKEA,OUTSIDER LONDON,2001,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.luerzersarchive.com/en/magazine/commercial-detail/ikea-19405.html,https://lovetheworkmore.com/2001-2/
2001-bbv-retirement-bbv,BBV RETIREMENT,BBV,CARILLO PASTORE EURO RSCG SÃO PAULO,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=Kby6gdMS2Os,https://lovetheworkmore.com/2001-2/
2001-beautiful-hat-fiona-bennett,BEAUTIFUL HAT,FIONA BENNETT,SCHOLZ & FRIENDS BERLIN,2001,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.luerzersarchive.com/en/magazine/print-detail/fiona-bennett-18843.html,https://lovetheworkmore.com/2001-2/
2001-bernadette-life-saver-shire,"BERNADETTE, LIFE SAVER",SHIRE,COLENSO BBDO AUCKLAND,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=s-4UhP78xyU,https://lovetheworkmore.com/2001-2/
2001-bomb-squad-veronica-magazine,BOMB SQUAD,VERONICA MAGAZINE,VAN WALBEEK ETCETERA AMSTERDAM,2001,,,Film,0.45,fallback_default,https://www.adsoftheworld.com/campaigns/bomb-9109ab10-0b21-4bc4-8063-9a7e2a4ee93c,https://lovetheworkmore.com/2001-2/
2001-brunette-grizzly-natan,"BRUNETTE, GRIZZLY",NATAN,F/NAZCA SAATCHI & SAATCHI SÃO PAULO,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=nQujWo8eOaI,https://lovetheworkmore.com/2001-2/
2001-business-as-usual-diesel,BUSINESS AS USUAL,DIESEL,PARADISET DDB STOCKHOLM,2001,,,Film,0.45,fallback_default,https://disgruntledharadrim.com/2012/05/10/speculative-art-the-daily-african-diesel-2001/,https://lovetheworkmore.com/2001-2/
2001-business-to-businessmen-giovanni-fcb,BUSINESS TO BUSINESSMEN,GIOVANNI FCB,GIOVANNI FCB SÃO PAULO,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=znL4FmIANBE,https://lovetheworkmore.com/2001-2/
2001-career-path-sports-illustrated,CAREER PATH,SPORTS ILLUSTRATED,FALLON MINNEAPOLIS,2001,,,Film,0.45,fallback_default,https://stevedriggs.com/Sports-Illustrated,https://lovetheworkmore.com/2001-2/
2001-cemetery-weber-insurance,CEMETERY,WEBER INSURANCE,PUBLICIS CASADEVALL PEDRENO & PRG MADRID,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=0oOLwHACvmU,https://lovetheworkmore.com/2001-2/
2001-condoms-car-motorcyclists-san-miguel,"CONDOMS, CAR, MOTORCYCLISTS",SAN MIGUEL,PUBLICIS CASADEVALL PEDRENO & PRG BARCELONA,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=G7AotsjhY8Y,https://lovetheworkmore.com/2001-2/
2001-desk-shoe-hair-sparletta-bubble-blu,"DESK, SHOE, HAIR",SPARLETTA BUBBLE BLU,LOWE LINTAS BULL CALVERT PACE JOHANNESBURG,2001,,,Film,0.45,fallback_default,https://drive.google.com/drive/folders/136DPkeQJyceGDk8ab6WwxNTuP3Zr4Qff?usp=drive_link,https://lovetheworkmore.com/2001-2/
2001-every-little-boy-s-nightmare-the-dollar-went-up-havaianas,"EVERY LITTLE BOY’S NIGHTMARE, THE DOLLAR WENT UP",HAVAIANAS,ALMAPBBDO SÃO PAULO,2001,,,Film,0.45,fallback_default,https://drive.google.com/drive/folders/1moukKz8r_LamfjljhXhiLHU9-AQA6ULP?usp=drive_link,https://lovetheworkmore.com/2001-2/
2001-fisherman-forest-kids-old-man-ox-cart-seychelles-tourist-marketing-authority,"FISHERMAN, FOREST, KIDS, OLD MAN, OX CART",SEYCHELLES TOURIST MARKETING AUTHORITY,TBWA HUNT LASCARIS JOHANNESBURG,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=yCTqFooLJuk,https://lovetheworkmore.com/2001-2/
2001-formula-1-tool-shop-interflora,"FORMULA 1, TOOL SHOP",INTERFLORA,ROBERT/BOISEN & LIKEMINDED COPENHAGEN,2001,,,Film,0.45,fallback_default,https://www.shots.net/news/view/3681-interflora-tool-shop-formula-1,https://lovetheworkmore.com/2001-2/
2001-god-love-singapore-movement,GOD,LOVE SINGAPORE MOVEMENT,OGILVY & MATHER SINGAPORE,2001,,,Film,0.45,fallback_default,https://www.eugenecheong.com/lovesingapore,https://lovetheworkmore.com/2001-2/
2001-grandpa-harley-davidson,GRANDPA,HARLEY DAVIDSON,GIOVANNI FCB SÃO PAULO,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=C6SJP16EhnM,https://lovetheworkmore.com/2001-2/
2001-hands-nike,HANDS,NIKE,THE JUPITER DRAWING ROOM JOHANNESBERG,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=yhD1Ru9i3HU,https://lovetheworkmore.com/2001-2/
2001-its-true-you-can-have-it-cheaper-ikea,ITS TRUE YOU CAN HAVE IT CHEAPER,IKEA,LEO BURNETT WARSAW,2001,,,Film,0.45,fallback_default,https://www.adsoftheworld.com/campaigns/picture-frame,https://lovetheworkmore.com/2001-2/
2001-kitchen-ikea,KITCHEN,IKEA,OUTSIDER LONDON,2001,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.luerzersarchive.com/en/magazine/commercial-detail/ikea-19406.html,https://lovetheworkmore.com/2001-2/
2001-life-s-unfair-till-you-get-a-degree-macquarie-university,LIFE’S UNFAIR TILL YOU GET A DEGREE,MACQUARIE UNIVERSITY,GEORGE PATTERSON BATES SYDNEY,2001,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,http://www.steve-mccabe.com/macquarie-university-print,https://lovetheworkmore.com/2001-2/
2001-line-up-nike-shox,LINE UP,NIKE SHOX,THE JUPITER DRAWING ROOM JOHANNESBERG,2001,,,Film,0.45,fallback_default,https://drive.google.com/file/d/1mRruPeq80BEvyasSWByFNEqK7QkGrv7L/view,https://lovetheworkmore.com/2001-2/
2001-long-headline-the-economist,LONG HEADLINE,THE ECONOMIST,ABBOTT MEAD VICKERS BBDO LONDON,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=04Xzumk8kBo,https://lovetheworkmore.com/2001-2/
2001-loo-fanatics-bookstore,LOO,FANATICS BOOKSTORE,HARRISONHUMAN JOHANNESBURG,2001,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.ivanpols.com/portfolio/2001/6/9/exclusive-books-loo.html,https://lovetheworkmore.com/2001-2/
2001-magic-car-bmw,MAGIC CAR,BMW,JUNG VON MATT/ISAR MUNICH,2001,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.luerzersarchive.com/en/magazine/commercial-detail/bmw-c-1-19294.html,https://lovetheworkmore.com/2001-2/
2001-metre-arias,METRE,ARIAS,TANDEM DDB MADRID,2001,,,Film,0.45,fallback_default,https://drive.google.com/file/d/1-5i7q-x8XaeHDG3Hi4d-8dvh9gGOH_FO/view?usp=drive_link,https://lovetheworkmore.com/2001-2/
2001-mlk-boston-globe,MLK,BOSTON GLOBE,HOLLAND MARK ADVERTISING BOSTON,2001,,,Print,0.9,\b(print|press|newspaper|magazine|poster|billboard)\b,https://www.oneclub.org/awards/theoneshow/-award/14263/,https://lovetheworkmore.com/2001-2/
2001-newspaper-i-newspaper-ii-dyrup-syrup,"NEWSPAPER I, NEWSPAPER II",DYRUP SYRUP,YOUNG & RUBICAM PORTUGAL LISBON,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=_A--XCK_nEk,https://lovetheworkmore.com/2001-2/
2001-nike-id-nike,NIKE ID,NIKE,CRITICAL MASS CALGARY,2001,,,Digital,0.85,\b(digital|interactive|website|web|app|mobile)\b,https://www.oneclub.org/awards/theoneshow/-award/2883/nike-id,https://lovetheworkmore.com/2001-2/
2001-ocean-land-valley-mag-lite,"OCEAN, LAND, VALLEY",MAG- LITE,TUGBOAT TOKYO,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=oY2-7sRUu9U,https://lovetheworkmore.com/2001-2/
2001-second-hand-apple-service,SECOND HAND,APPLE SERVICE,SCHOLZ & FRIENDS BERLIN,2001,,,Film,0.75,\b(film|tv commercial|video|cinema|case study|vimeo|youtube)\b,https://www.youtube.com/watch?v=WHqxBlFuIXA,https://lovetheworkmore.com/2001-2/
2001-secrets-of-a-tobacco-executive-florida-anti-tobacco-pilot-program,SECRETS OF A TOBACCO EXECUTIVE,FLORIDA ANTI-TOBACCO PILOT PROGRAM,CP+B MIAMI,2001,,,Film,0.45,fallback_default,https://timdroper.com/truth-secrets-of-a-tobacco-executive,https://lovetheworkmore.com/2001-2/
