id,case_study_name,old_link,new_link,,,,
2022-gear-up-bank-of-montreal,GEAR UP,https://www.youtube.com/watch?v=BY4U9CzDq7E,https://www.youtube.com/watch?v=zXbxJG7TgFY,,,,
2012-wangari-dorothy-jacques-donate-your-garbage-ngo-tbwa-s,"WANGARI, DOROTHY, JACQUES",https://www.adsoftheworld.com/campaign/donate-your-garbage-tbwa-06-2012,https://adsspot.me/brands/donate-your-garbage-ngo-91675598b07f,,,,
2024-don-t-drink-hertog-jan-hertog-jan,DON’T DRINK HERTOG JAN,https://www.unblock.coffee/campaign/dont-drink-hertog-jan/,https://www.youtube.com/watch?v=pn80885I5OY,,,,
super-bowl-2024-ispot-67ka,Mr. P,https://www.youtube.com/watch?v=bB8y8dlDlFE,https://www.youtube.com/watch?v=cZJ8RSIxDOY,,,,
2022-lil-dicky-quartertime-show-gopuff,LIL DICKY QUARTERTIME SHOW,https://www.youtube.com/watch?v=uSlGgw2uiZo,https://www.youtube.com/watch?v=qyH7jiUwEYM,,,,
2012-jacques-donate-your-garbage,JACQUES,https://www.youtube.com/watch?v=u5b55DDeOPI,https://adsspot.me/brands/donate-your-garbage-ngo-91675598b07f,,,,
2012-wangari-dorothy-jacques-donate-your-garbage-ngo,"WANGARI, DOROTHY, JACQUES",https://www.youtube.com/watch?v=RqyXLt_nloc,https://adsspot.me/brands/donate-your-garbage-ngo-91675598b07f,,,,
2025-olympic-games-opening-ceremony-paris-2024-paris-2024,OLYMPIC GAMES OPENING CEREMONY PARIS 2024,https://vimeo.com/1093757553,https://vimeo.com/1095952716,,,,
2022-para-expansion-canadian-paralympic-committee,PARA EXPANSION,https://vimeo.com/722008822?login=true#,https://www.youtube.com/watch?v=3XLznK0UoaI,,,,
2024-kiki-virtual-human-interpreter-nhk-enterprises,"KIKI, VIRTUAL HUMAN INTERPRETER",https://clios.com/health/winner/creative-use-of-data-consumer-brand-health-initiat/nhk-enterprises-nhk-global-media-services/kiki-virtual-human-interpreter-523446,https://vimeo.com/960422146?fl=pl&fe=vl,,,,
2024-the-big-shake-up-aktion-deutschland-hilft,THE BIG SHAKE UP,https://lbbonline.com/work/108427,https://www.youtube.com/watch?v=ZoaNxl3trZQ,,,,
