id,year,brand,case_name,current_outbound_url,expected_ispot_url,source_url
super-bowl-2016-ispot-72oq,2016,CBS,Hawaii Five-0 | Blue Bloods,https://www.youtube.com/watch?v=zFeuXLzJpB0,https://www.ispot.tv/ad/72OQ,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ania,2016,Doritos,Finalist: Swipe for Doritos,https://www.youtube.com/watch?v=K0MretggbBg,https://www.ispot.tv/ad/ANIA,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-anu5,2016,Pepsi,Teaser: Camp Halftime: Episode 1,https://www.youtube.com/watch?v=9rhadTURsrw,https://www.ispot.tv/ad/ANU5,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao6p,2016,Taco Bell,Teaser: Behind the Scenes: Texas Law Hawk,https://www.youtube.com/watch?v=QBq3BYNtGQs,https://www.ispot.tv/ad/AO6P,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao81,2016,NFL,Super Bowl Babies Choir,https://www.youtube.com/watch?v=leU-mgKfdcs,https://www.ispot.tv/ad/AO81,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao82,2016,CBS,The Late Late Show Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=ZgdGVFsHzZ8,https://www.ispot.tv/ad/AO82,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8a,2016,LG Televisions,Man From the Future,https://www.youtube.com/watch?v=iP8hx3ONwgU,https://www.ispot.tv/ad/AO8A,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8b,2016,CBS,The Late Show Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=ZgdGVFsHzZ8,https://www.ispot.tv/ad/AO8B,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8d,2016,CBS,Tom Selleck: I Have a Dream Foundation,https://www.youtube.com/watch?v=ZgdGVFsHzZ8,https://www.ispot.tv/ad/AO8D,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8g,2016,CBS,Mom Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=TeF3xGh-NqA,https://www.ispot.tv/ad/AO8G,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8i,2016,Fitbit,Dualities,https://www.youtube.com/watch?v=q1Ny6doBqEI,https://www.ispot.tv/ad/AO8I,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8j,2016,Budweiser,Give a Damn,https://www.youtube.com/watch?v=_d7FuDZddh0,https://www.ispot.tv/ad/AO8J,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8k,2016,Kia,Walken Closet,https://www.youtube.com/watch?v=VsogC7TeyMY,https://www.ispot.tv/ad/AO8K,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8l,2016,CBS,All-Access Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=TeF3xGh-NqA,https://www.ispot.tv/ad/AO8L,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8m,2016,CBS,Survivor Super Bowl 2016,https://www.youtube.com/watch?v=ZgdGVFsHzZ8,https://www.ispot.tv/ad/AO8M,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8n,2016,Butterfinger,Bolder Than Bold Jump,https://www.youtube.com/watch?v=RUNDw35kc78,https://www.ispot.tv/ad/AO8N,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8o,2016,Honda,New Truck to Love,https://www.youtube.com/watch?v=IVMjVM_eliQ,https://www.ispot.tv/ad/AO8O,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8p,2016,JUBLIA,Best Kept Secret,https://www.youtube.com/watch?v=AXCCmCwzRPs,https://www.ispot.tv/ad/AO8P,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8q,2016,CBS,Scorpion Super Bowl 2016,https://www.youtube.com/watch?v=ZgdGVFsHzZ8,https://www.ispot.tv/ad/AO8Q,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8r,2016,CBS,Supergirl | Scorpion | NCIS: Los Angeles Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=56r3038Eb3s,https://www.ispot.tv/ad/AO8R,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8s,2016,Axe (Deodorant),Find Your Magic,https://www.youtube.com/watch?v=KEpDpCksviA,https://www.ispot.tv/ad/AO8S,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8t,2016,Schick,Robot Razors,https://www.youtube.com/watch?v=8Ns3extZmM0,https://www.ispot.tv/ad/AO8T,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8u,2016,CBS,NCIS | NCIS: New Orleans Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=NEgrrMfLpTk,https://www.ispot.tv/ad/AO8U,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8w,2016,Xifaxan,Football Game,https://www.youtube.com/watch?v=3Hnldf3z4bY,https://www.ispot.tv/ad/AO8W,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8y,2016,T-Mobile,Restricted Bling,https://www.youtube.com/watch?v=Cx3eNQz5wWI,https://www.ispot.tv/ad/AO8Y,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-ao8z,2016,SunTrust,Hold Your Breath,https://www.youtube.com/watch?v=xp6kv0cV0hw,https://www.ispot.tv/ad/AO8Z,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoe0,2016,CBS,Code Black TV Promo,https://www.youtube.com/watch?v=TPZLCUBhqJA,https://www.ispot.tv/ad/AOE0,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoe4,2016,McDonald's,Good Morning,https://www.youtube.com/watch?v=d4FmUjOBZvQ,https://www.ispot.tv/ad/AOE4,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoe5,2016,Febreze,Does Your Bedroom Smell?,https://www.youtube.com/watch?v=gYW-xIWcToY,https://www.ispot.tv/ad/AOE5,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoe6,2016,CBS,Rush Hour TV Promo,https://www.youtube.com/watch?v=l5SkM2FqP1Y,https://www.ispot.tv/ad/AOE6,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoem,2016,CBS,2016 Masters Tournament,https://www.youtube.com/watch?v=H24y2CFCo4Y,https://www.ispot.tv/ad/AOEM,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aogp,2016,TurboTax,Teaser: Someone Else,https://www.youtube.com/watch?v=cHufZj0Aw6k,https://www.ispot.tv/ad/AOGP,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoi_,2016,Intel,Experience Amazing,https://www.youtube.com/watch?v=JOkpg_MC6Vc,https://www.ispot.tv/ad/AOI_,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoi0,2016,Audi,Commander,https://www.youtube.com/watch?v=NbwzTV3kyU0,https://www.ispot.tv/ad/AOI0,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoi3,2016,PayPal,There's a New Money in Town,https://www.youtube.com/watch?v=0K_jOuBa56s,https://www.ispot.tv/ad/AOI3,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoi4,2016,Taco Bell,Bigger Than...,https://www.youtube.com/watch?v=L4SYlmpquJQ,https://www.ispot.tv/ad/AOI4,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoi8,2016,Machine Zone,Mobile Strike: Fight,https://www.youtube.com/watch?v=D6MPG--Yfqg,https://www.ispot.tv/ad/AOI8,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoi9,2016,Marmot,Fall In Love,https://www.youtube.com/watch?v=F3sn2-qCBq4,https://www.ispot.tv/ad/AOI9,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoia,2016,Hyundai,The Chase,https://www.youtube.com/watch?v=NlRI34cWw_I,https://www.ispot.tv/ad/AOIA,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoid,2016,T-Mobile,Teaser: Magenta,https://www.youtube.com/watch?v=_qn_QjR53CU,https://www.ispot.tv/ad/AOID,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoie,2016,Apartments.com,Moving Day,https://www.youtube.com/watch?v=nkLvM9eziu8,https://www.ispot.tv/ad/AOIE,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoif,2016,Esurance,Pass It On Sweepstakes,https://www.youtube.com/watch?v=BW7p5uLBsQM,https://www.ispot.tv/ad/AOIF,https://www.ispot.tv/events/2016-super-bowl-commercials
super-bowl-2016-ispot-aoih,2016,Michelob,Breathe,https://www.youtube.com/watch?v=A4S90yUgBi4,https://www.ispot.tv/ad/AOIH,https://www.ispot.tv/events/2016-super-bowl-commercials
