id,year,brand,case_name,youtube_url
super-bowl-2016-ispot-72oq,2016,CBS,Hawaii Five-0 | Blue Bloods,https://www.youtube.com/watch?v=zFeuXLzJpB0
super-bowl-2016-ispot-ania,2016,Doritos,Finalist: Swipe for Doritos,https://www.youtube.com/watch?v=K0MretggbBg
super-bowl-2016-ispot-anu5,2016,Pepsi,Teaser: Camp Halftime: Episode 1,https://www.youtube.com/watch?v=9rhadTURsrw
super-bowl-2016-ispot-ao6p,2016,Taco Bell,Teaser: Behind the Scenes: Texas Law Hawk,https://www.youtube.com/watch?v=QBq3BYNtGQs
super-bowl-2016-ispot-ao81,2016,NFL,Super Bowl Babies Choir,https://www.youtube.com/watch?v=leU-mgKfdcs
super-bowl-2016-ispot-ao82,2016,CBS,The Late Late Show Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=ZgdGVFsHzZ8
super-bowl-2016-ispot-ao8a,2016,LG Televisions,Man From the Future,https://www.youtube.com/watch?v=iP8hx3ONwgU
super-bowl-2016-ispot-ao8b,2016,CBS,The Late Show Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=ZgdGVFsHzZ8
super-bowl-2016-ispot-ao8d,2016,CBS,Tom Selleck: I Have a Dream Foundation,https://www.youtube.com/watch?v=ZgdGVFsHzZ8
super-bowl-2016-ispot-ao8g,2016,CBS,Mom Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=TeF3xGh-NqA
super-bowl-2016-ispot-ao8i,2016,Fitbit,Dualities,https://www.youtube.com/watch?v=q1Ny6doBqEI
super-bowl-2016-ispot-ao8j,2016,Budweiser,Give a Damn,https://www.youtube.com/watch?v=_d7FuDZddh0
super-bowl-2016-ispot-ao8k,2016,Kia,Walken Closet,https://www.youtube.com/watch?v=VsogC7TeyMY
super-bowl-2016-ispot-ao8l,2016,CBS,All-Access Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=TeF3xGh-NqA
super-bowl-2016-ispot-ao8m,2016,CBS,Survivor Super Bowl 2016,https://www.youtube.com/watch?v=ZgdGVFsHzZ8
super-bowl-2016-ispot-ao8n,2016,Butterfinger,Bolder Than Bold Jump,https://www.youtube.com/watch?v=RUNDw35kc78
super-bowl-2016-ispot-ao8o,2016,Honda,New Truck to Love,https://www.youtube.com/watch?v=IVMjVM_eliQ
super-bowl-2016-ispot-ao8p,2016,JUBLIA,Best Kept Secret,https://www.youtube.com/watch?v=AXCCmCwzRPs
super-bowl-2016-ispot-ao8q,2016,CBS,Scorpion Super Bowl 2016,https://www.youtube.com/watch?v=ZgdGVFsHzZ8
super-bowl-2016-ispot-ao8r,2016,CBS,Supergirl | Scorpion | NCIS: Los Angeles Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=56r3038Eb3s
super-bowl-2016-ispot-ao8s,2016,Axe (Deodorant),Find Your Magic,https://www.youtube.com/watch?v=KEpDpCksviA
super-bowl-2016-ispot-ao8t,2016,Schick,Robot Razors,https://www.youtube.com/watch?v=8Ns3extZmM0
super-bowl-2016-ispot-ao8u,2016,CBS,NCIS | NCIS: New Orleans Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=NEgrrMfLpTk
super-bowl-2016-ispot-ao8w,2016,Xifaxan,Football Game,https://www.youtube.com/watch?v=3Hnldf3z4bY
super-bowl-2016-ispot-ao8y,2016,T-Mobile,Restricted Bling,https://www.youtube.com/watch?v=Cx3eNQz5wWI
