id,year,brand,title,current_outbound,source_url,youtube_search,cand1_score,cand1_title,cand1_url,cand2_score,cand2_title,cand2_url,cand3_score,cand3_title,cand3_url
"super-bowl-2016-ispot-iecg","2016","Colgate","Every Drop Counts","https://www.ispot.tv/ad/IEcG/colgate-every-drop-counts","https://www.ispot.tv/events/2016-super-bowl-commercials","https://www.youtube.com/results?search_query=Colgate%20Every%20Drop%20Counts%20super%20bowl%202016%20ad","0.951","Every Drop Counts: Colgate Ad on Sustainability","https://www.youtube.com/watch?v=_m7Gp2grkIo","0.88","Every Drop Counts - Colgate on World Water Day","https://www.youtube.com/watch?v=mSfqRwna_Dc","0.609","Every Drop Counts","https://www.youtube.com/watch?v=YNDpSTtYTX8"
"super-bowl-2016-ispot-aomm","2016","Parkwood Entertainment","Formation World Tour","https://www.ispot.tv/ad/AOmm/beyonce-super-bowl-2016-mation-world-tour","https://www.ispot.tv/events/2016-super-bowl-commercials","https://www.youtube.com/results?search_query=Parkwood%20Entertainment%20Formation%20World%20Tour%20super%20bowl%202016%20ad","0.68","The Formation World Tour","https://www.youtube.com/watch?v=Of5IEnv_yH4","0.609","BTS: The Formation World Tour (Teaser)","https://www.youtube.com/watch?v=bKQS7gFre4g","0.609","BTS: The Formation World Tour","https://www.youtube.com/watch?v=DOqEYZQqDHA"
"super-bowl-2016-ispot-aoiz","2016","NFL Shop","The Perfect Gift for Those Just Married","https://www.ispot.tv/ad/AOiz/nfl-shop-the-perfect-gift-for-those-just-married","https://www.ispot.tv/events/2016-super-bowl-commercials","https://www.youtube.com/results?search_query=NFL%20Shop%20The%20Perfect%20Gift%20for%20Those%20Just%20Married%20super%20bowl%202016%20ad","1.38","The Perfect Gift for those Just Married | NFL Shop","https://www.youtube.com/watch?v=hfPIES9vTxQ","1.075","NFL Shop ""The Perfect Holiday Gift for those Just Married""","https://www.youtube.com/watch?v=XLa2sIZBEfY","0.644","The Perfect Gift for the New Baby | NFL Shop","https://www.youtube.com/watch?v=KSGvar6Bmmc"
"super-bowl-2016-ispot-aoxg","2016","Doritos","Teaser: Without You","https://www.ispot.tv/ad/AOxg/doritos-super-bowl-2016-teaser-without-you-song-by-awolnation","https://www.ispot.tv/events/2016-super-bowl-commercials","https://www.youtube.com/results?search_query=Doritos%20Teaser%3A%20Without%20You%20super%20bowl%202016%20ad","0.48","Doritos’s superbowl ad","https://www.youtube.com/watch?v=8UYN9LpHe34","0.473","NEW Doritos Super Bowl Commercial 2016 (The Neighbor)","https://www.youtube.com/watch?v=tetcTIv85Y4","0.473","Doritos Dogs - Crash the Super Bowl 2016 WINNER OFFICIAL","https://www.youtube.com/watch?v=MNRAdrB9TSs"
"super-bowl-2016-ispot-aogp","2016","TurboTax","Teaser: Someone Else","https://www.ispot.tv/ad/AOGP/turbotax-super-bowl-2016-teaser-someone-else-featuring-james-lipton","https://www.ispot.tv/events/2016-super-bowl-commercials","https://www.youtube.com/results?search_query=TurboTax%20Teaser%3A%20Someone%20Else%20super%20bowl%202016%20ad","0.497","TurboTax 2016 Big Game Commercial “Never a Sellout“ Official ׃30","https://www.youtube.com/watch?v=cHufZj0Aw6k","0.473","Comercial TurboTax Super Bowl 2016","https://www.youtube.com/watch?v=E0SbGogIf4M","0.45","TurboTax Commercial (2016)","https://www.youtube.com/watch?v=ItSCV0JPx-Y"
"super-bowl-2017-ispot-acft","2017","SoFi","Together","https://www.ispot.tv/ad/AcfT/sofi-super-bowl-2017-together","https://www.ispot.tv/events/2017-super-bowl-commercials","https://www.youtube.com/results?search_query=SoFi%20Together%20super%20bowl%202017%20ad","0.551","Procter & Gamble Super Bowl 2020 TV Commercial When We Come Together Featuring Sofia Vergara","https://www.youtube.com/watch?v=nctsDTqMnTo","0.533","sofi commercial","https://www.youtube.com/watch?v=JWvMumMnGN4","0.53","SoFi׃ The Best Super Bowl 2016 Commercial  Ad","https://www.youtube.com/watch?v=9gWPxIyA67c"
"super-bowl-2017-ispot-a309","2017","FX Network","Legion Super Bowl 2017 TV Promo: Unrestrained","https://www.ispot.tv/ad/A309/legion-super-bowl-2017-tv-promo-unrestrained","https://www.ispot.tv/events/2017-super-bowl-commercials","https://www.youtube.com/results?search_query=FX%20Network%20Legion%20Super%20Bowl%202017%20TV%20Promo%3A%20Unrestrained%20super%20bowl%202017%20ad","0.533","Legion | Season 1: Unrestrained Promo | FX","https://www.youtube.com/watch?v=Kyp_eQMB-zI","0.533","Legion | Season 1: Unrestrained Promo | FX","https://www.youtube.com/watch?v=5LRrCDdROHA","0.367","Legion | Season 1: 20% Promo | FX","https://www.youtube.com/watch?v=iSV2pjeKHBc"
"super-bowl-2017-ispot-a30j","2017","FX Network","Legion Super Bowl 2017 TV Promo: Human Race","https://www.ispot.tv/ad/A30J/legion-super-bowl-2017-tv-promo-human-race","https://www.ispot.tv/events/2017-super-bowl-commercials","https://www.youtube.com/results?search_query=FX%20Network%20Legion%20Super%20Bowl%202017%20TV%20Promo%3A%20Human%20Race%20super%20bowl%202017%20ad","0.45","Legion | Comic-Con 2017: David’s Madness | FX","https://www.youtube.com/watch?v=LVFW8EufLNA","0.45","Legion | Season 1: World Premiere SDCC 2017 | FX","https://www.youtube.com/watch?v=iG8oLHSlV5Q","0.432","Legion | Comic-Con 2017: A New Dance Number? | FX","https://www.youtube.com/watch?v=LgrGaaS71W0"
"super-bowl-2017-ispot-a3ph","2017","FX Network","FX Network Super Bowl 2017 TV Promo","https://www.ispot.tv/ad/A3PH/fx-network-super-bowl-2017-tv-promo","https://www.ispot.tv/events/2017-super-bowl-commercials","https://www.youtube.com/results?search_query=FX%20Network%20FX%20Network%20Super%20Bowl%202017%20TV%20Promo%20super%20bowl%202017%20ad","0.583","2017 on FX","https://www.youtube.com/watch?v=6KE4HT6IXy8","0.536","FX Network - FX Has the Movies Promo Winter 2017","https://www.youtube.com/watch?v=8hjybaSVDvY","0.536","FX Network - FX Has the Movies Promo Summer 2017","https://www.youtube.com/watch?v=-AsXeK9yjzw"
"super-bowl-2017-ispot-a3cu","2017","FX Network","Feud Super Bowl 2017 TV Promo: On Purpose","https://www.ispot.tv/ad/A3cU/feud-super-bowl-2017-tv-promo-on-purpose","https://www.ispot.tv/events/2017-super-bowl-commercials","https://www.youtube.com/results?search_query=FX%20Network%20Feud%20Super%20Bowl%202017%20TV%20Promo%3A%20On%20Purpose%20super%20bowl%202017%20ad","0.297","TWD Super Bowl Commercial 2017","https://www.youtube.com/watch?v=awwD0z3wgng","0.273","Stranger Things 2 | Super Bowl 2017 Ad | Netflix","https://www.youtube.com/watch?v=9Egf5U8xLo8","0.273","Top 10 Super Bowl Ads of 2017","https://www.youtube.com/watch?v=xYAR1W10__A"
