year,playlist,video_title,video_url
2025,"2025 Ads of Super Bowl LIX (59)","Martha Stewart for Glide-Step Skechers Slip-ins","https://www.youtube.com/watch?v=ZDy_h1UA_M4"
2025,"2025 Ads of Super Bowl LIX (59)","Abduction","https://www.youtube.com/watch?v=sIAnQwiCpRc"
2025,"2025 Ads of Super Bowl LIX (59)","Marvel Studios’ Thunderbolts* | Big Game Trailer | In Theaters May 2","https://www.youtube.com/watch?v=hUUszE29jS0"
2025,"2025 Ads of Super Bowl LIX (59)","A New Era in Connectivity – T-Satellite | T-Mobile","https://www.youtube.com/watch?v=HLw6ZovMpLI"
2025,"2025 Ads of Super Bowl LIX (59)","Taco Bell 2025 Big Game Ad | The Fans feat. Doja Cat and LeBron","https://www.youtube.com/watch?v=rzJPAqhIbXw"
2025,"2025 Ads of Super Bowl LIX (59)","Tubi | He was Born to Love Westerns | Super Bowl LIX","https://www.youtube.com/watch?v=pu3pS2OtdS8"
2025,"2025 Ads of Super Bowl LIX (59)","Jeep® | Big Game | Harrison Ford x Jeep | Owner’s Manual","https://www.youtube.com/watch?v=cDn_uFEXGXk"
2025,"2025 Ads of Super Bowl LIX (59)","Lilo & Stitch | Stitch Runs Loose At The Big Game | In Theaters May 23","https://www.youtube.com/watch?v=gqxwX1ZYg58"
2025,"2025 Ads of Super Bowl LIX (59)","Fetch | The Big Reward Ad","https://www.youtube.com/watch?v=-vmJfJVRyA0"
2025,"2025 Ads of Super Bowl LIX (59)","Kendrick Lamar's Apple Music Super Bowl Halftime Show","https://www.youtube.com/watch?v=KDorKy-13ak"
2025,"2025 Ads of Super Bowl LIX (59)","The Kick of Destiny 3 - A recap of Eli vs Peyton Manning","https://www.youtube.com/watch?v=EFkCnzboCEM"
2025,"2025 Ads of Super Bowl LIX (59)","‘Your Attention, Please’","https://www.youtube.com/watch?v=vVCU6sg8cjk"
2025,"2025 Ads of Super Bowl LIX (59)","Liquid Death ‘Safe For Work’ Big Game Commercial","https://www.youtube.com/watch?v=jqtWWWhIMas"
2025,"2025 Ads of Super Bowl LIX (59)","ChatGPT | The Intelligence Age","https://www.youtube.com/watch?v=kIhb5pEo_j0"
2025,"2025 Ads of Super Bowl LIX (59)","Dream Job | Google Pixel SB Commercial 2025","https://www.youtube.com/watch?v=-7e6g11BJc0"
2025,"2025 Ads of Super Bowl LIX (59)","A smile in the RITZ Salty Club? Not happening.","https://www.youtube.com/watch?v=Sq7uRqOldeQ"
2025,"2025 Ads of Super Bowl LIX (59)","“What If” | Big Game Spot | Disney+","https://www.youtube.com/watch?v=8May3405b_o"
2025,"2025 Ads of Super Bowl LIX (59)","Pfizer | Big Game Commercial 2025 | Knock Out","https://www.youtube.com/watch?v=wNLhMZuA00c"
2025,"2025 Ads of Super Bowl LIX (59)","Bosch Big Game Ad 2025 | The More You Bosch","https://www.youtube.com/watch?v=Zn_sUFnwHDg"
2025,"2025 Ads of Super Bowl LIX (59)","Novocaine | Big Game Spot (2025 Movie) - Jack Quaid, Amber Midthunder, Ray Nicholson, Jacob Batalon","https://www.youtube.com/watch?v=hKBxN5Fllhg"
2025,"2025 Ads of Super Bowl LIX (59)","DoorDash | DashPass Math :30","https://www.youtube.com/watch?v=_fHqcDASbGs"
2025,"2025 Ads of Super Bowl LIX (59)","WeatherTech Big Game Commercial 2025 : Whatever Comes Your Way  - 30 Seconds","https://www.youtube.com/watch?v=SvcpZ-GuOgo"
2025,"2025 Ads of Super Bowl LIX (59)","Chazmo Finally Goes Home: Totino's Pizza Rolls :30 Big Game Ad","https://www.youtube.com/watch?v=FIYkPHUiCW4"
2025,"2025 Ads of Super Bowl LIX (59)","Skechers with Andy Reid - 2025 Big Game Ad","https://www.youtube.com/watch?v=6g3s16dPsik"
2025,"2025 Ads of Super Bowl LIX (59)","Stella Artois | David & Dave: The Other David","https://www.youtube.com/watch?v=GAoeGC-eL4I"
2025,"2025 Ads of Super Bowl LIX (59)","A Tale As Old As Websites | Big Game Commercial 2025 | Squarespace","https://www.youtube.com/watch?v=LC5V4aIoWes"
2025,"2025 Ads of Super Bowl LIX (59)","NERDS Big Game Commercial ft. Shaboozey | Official :30 | 2025","https://www.youtube.com/watch?v=nwcZ2dxPUo0"
2025,"2025 Ads of Super Bowl LIX (59)","No Reason to Hate | Super Bowl LIX Commercial | 30","https://www.youtube.com/watch?v=AOxm8LmH7Y4"
2025,"2025 Ads of Super Bowl LIX (59)","Hey Meta, Who Eats Art? Ft. Chris Hemsworth, Chris Pratt and Kris Jenner | Ray-Ban Meta Glasses","https://www.youtube.com/watch?v=-cqwXxUo_q8"
2025,"2025 Ads of Super Bowl LIX (59)","LAY'S® | The Little Farmer | :60","https://www.youtube.com/watch?v=gmzklpZFNiE"
2025,"2025 Ads of Super Bowl LIX (59)","A Century of Cravings | Uber Eats","https://www.youtube.com/watch?v=fIoMjrfGy28"
2025,"2025 Ads of Super Bowl LIX (59)","How Google AI is helping American small businesses","https://www.youtube.com/watch?v=cym-JwNa-Vg"
2025,"2025 Ads of Super Bowl LIX (59)","Get your stay ridiculously right │ Booking.com 2025 Big Game Ad","https://www.youtube.com/watch?v=laBjQ9uJDg8"
2025,"2025 Ads of Super Bowl LIX (59)","REESE'S | Don't Eat Lava","https://www.youtube.com/watch?v=tU_vZpbnYF4"
2025,"2025 Ads of Super Bowl LIX (59)","""Unidentified Frying Object"" | HexClad Super Bowl (Full Commercial)","https://www.youtube.com/watch?v=2cK-v7sSiUI"
2025,"2025 Ads of Super Bowl LIX (59)","“We’re Here” Big Game Spot I Instacart","https://www.youtube.com/watch?v=nVUPazjaHl8"
2025,"2025 Ads of Super Bowl LIX (59)","Born To Be Wild | WeatherTech","https://www.youtube.com/watch?v=tKwh3AAxI7s"
2025,"2025 Ads of Super Bowl LIX (59)","When Sally Met Hellmann's :30 - Super Bowl Commercial 2025","https://www.youtube.com/watch?v=RIXB-7RHjBY"
2025,"2025 Ads of Super Bowl LIX (59)","Hims Big Game Commercial: “Sick of the System”","https://www.youtube.com/watch?v=iOXWmZbA2Io"
2025,"2025 Ads of Super Bowl LIX (59)","State Farm Pulls Super Bowl Commercial After LA Fires","https://www.youtube.com/watch?v=-EQCWqpMEvo"
2025,"2025 Ads of Super Bowl LIX (59)","Budweiser | Super Bowl LIX 'First Delivery'","https://www.youtube.com/watch?v=K0iKgJXy_gk"
2025,"2025 Ads of Super Bowl LIX (59)","Kendrick Lamar headlines #AppleMusicHalftime | Apple Music SBLIX Halftime Show (Official Trailer)","https://www.youtube.com/watch?v=Hx1pHFyCFDk"
2024,"2024 Ads of Super Bowl LVIII (58)","Superbowl-ads.com Top 5 Ads of 2024","https://www.youtube.com/watch?v=KDLwIebhs9o"
2024,"2024 Ads of Super Bowl LVIII (58)","Dunkin’ ‘DunKings’ ft. Ben Affleck, Matt Damon, Jennifer Lopez, and Fat Joe","https://www.youtube.com/watch?v=ROY3rr2hia0"
2024,"2024 Ads of Super Bowl LVIII (58)","Dunkin’ ‘Popstar’ ft. Ben Affleck & Charli D’Amelio","https://www.youtube.com/watch?v=JvVaPHxfPgM"
2024,"2024 Ads of Super Bowl LVIII (58)","DoorDash | DoorDash All the Ads - :30","https://www.youtube.com/watch?v=DTLM5o-9hYg"
2024,"2024 Ads of Super Bowl LVIII (58)","Verizon - Can't Be Broken (2024)","https://www.youtube.com/watch?v=QrQQgLH0p_Y"
2024,"2024 Ads of Super Bowl LVIII (58)","Super Bowl LVIII (58) Commercial: Drumstick - Dr. Umstick (2024)","https://www.youtube.com/watch?v=WmpmKkRDQZg"
2024,"2024 Ads of Super Bowl LVIII (58)","Super Bowl LVIII (58) Commercial: Reese's Cups - Yes (2024)","https://www.youtube.com/watch?v=xXKuSJy5cPE"
2024,"2024 Ads of Super Bowl LVIII (58)","Super Bowl LVIII (58) Commercial: Hellman's - Mayo Cat (2024)","https://www.youtube.com/watch?v=sn4_CjtmQKw"
2024,"2024 Ads of Super Bowl LVIII (58)","Volkswagen - An American Love Story (2024)","https://www.youtube.com/watch?v=pUhq4w9mKWg"
2024,"2024 Ads of Super Bowl LVIII (58)","""Well Said"" | Big Game Spot | Disney+","https://www.youtube.com/watch?v=vQ88JB-lgtQ"
2024,"2024 Ads of Super Bowl LVIII (58)","Dunkin’ ‘The DunKings’ ft Ben Affleck, Matt Damon, Tom Brady, Jack Harlow, Jennifer Lopez, & Fat Joe","https://www.youtube.com/watch?v=Ve2miT5iF2M"
2024,"2024 Ads of Super Bowl LVIII (58)","Can’t B Broken","https://www.youtube.com/watch?v=r7jpCZ1ju9I"
2024,"2024 Ads of Super Bowl LVIII (58)","NFL Sunday Ticket | Migration","https://www.youtube.com/watch?v=NBuB85VsZfI"
2024,"2024 Ads of Super Bowl LVIII (58)","Robert Kennedy Jr Super Bowl Ad 2024 🇺🇸| American Values RFK JR","https://www.youtube.com/watch?v=nvXJJRjGVT4"
2024,"2024 Ads of Super Bowl LVIII (58)","REESE'S Post Game Commercial :07","https://www.youtube.com/watch?v=pO6czBqzX-s"
2024,"2024 Ads of Super Bowl LVIII (58)","Monkey Man | Elevator","https://www.youtube.com/watch?v=AJNUI0WqEdE"
2024,"2024 Ads of Super Bowl LVIII (58)","Michael CeraVe","https://www.youtube.com/watch?v=vAf5TjiUJgo"
2024,"2024 Ads of Super Bowl LVIII (58)","Bass Pro Shops 2024 Super Bowl Commercial - Making Memories On The Water","https://www.youtube.com/watch?v=ubSnD737JaM"
2024,"2024 Ads of Super Bowl LVIII (58)","#StandUpToJewishHate: Silence - Super Bowl LVIII Full Video","https://www.youtube.com/watch?v=D6HUxANY8z8"
2024,"2024 Ads of Super Bowl LVIII (58)","In e.l.f we Trust | e.l.f Cosmetics Game Day Commercial 2024 (:30s Version)","https://www.youtube.com/watch?v=DXfWY8GpX8Y"
2024,"2024 Ads of Super Bowl LVIII (58)","NFL Super Bowl LVIII || Born to Play","https://www.youtube.com/watch?v=7glIC7OaIro"
2024,"2024 Ads of Super Bowl LVIII (58)","Pluto TV Couch Potato Farms","https://www.youtube.com/watch?v=4mPKDEfo0UM"
2024,"2024 Ads of Super Bowl LVIII (58)","Auditions | 2024 Big Game Day Commercial | T-Mobile","https://www.youtube.com/watch?v=PjCSipST46I"
2024,"2024 Ads of Super Bowl LVIII (58)","FanDuel Kick of Destiny 2 featuring Rob Gronkowski","https://www.youtube.com/watch?v=bXrhgATNVbE"
2024,"2024 Ads of Super Bowl LVIII (58)","Temu's Big Game Ad Encore TV Commercial 2024","https://www.youtube.com/watch?v=5Od0aOse1wc"
2024,"2024 Ads of Super Bowl LVIII (58)","Kingdom of the Planet of the Apes | Official Trailer","https://www.youtube.com/watch?v=XtFI7SNtVpY"
2024,"2024 Ads of Super Bowl LVIII (58)","Wicked - First Look","https://www.youtube.com/watch?v=F1dvX9Vs0ns"
2024,"2024 Ads of Super Bowl LVIII (58)","CrowdStrike | The Future | Extended Cut","https://www.youtube.com/watch?v=BEkziTXz9Js"
2024,"2024 Ads of Super Bowl LVIII (58)","Deadpool & Wolverine | Official Teaser | In Theaters July 26","https://www.youtube.com/watch?v=uJMCNJP2ipI"
2024,"2024 Ads of Super Bowl LVIII (58)","DON'T FORGET UBER EATS","https://www.youtube.com/watch?v=Y7mLeyIETu0"
2024,"2024 Ads of Super Bowl LVIII (58)","TurboTax 2024 Super Bowl Sweepstakes & Commercial - The TurboTax Super Bowl File (Official Ad :45)","https://www.youtube.com/watch?v=8f2Qk0mxYUE"
2024,"2024 Ads of Super Bowl LVIII (58)","Say wHuuuut?!","https://www.youtube.com/watch?v=KQBBk9RJqrM"
2024,"2024 Ads of Super Bowl LVIII (58)","Superbowl-ads.com Promo - Created with AI","https://www.youtube.com/watch?v=-1A2uwFpCx0"
2024,"2024 Ads of Super Bowl LVIII (58)","The Future of Soda is Now | Poppi Super Bowl LVIII 2024 Commercial","https://www.youtube.com/watch?v=kwUJq0DA0xo"
