id,case_name,brand,agency,year,reason,yt_score,ltwm_page_score,outbound_url,source_url,youtube_title,youtube_author,audit_class,audit_note
1997-la-chasse-d-eau-kooka-fashions,LA CHASSE D’EAU,KOOKAÏ FASHIONS,CLM/BBDO PARIS,1997,low_title_match_and_low_ltwm_signal,0.125,0,https://www.youtube.com/watch?v=mMkMarL2vRM&list=PL8qnTFh9BKW0pswWWA85BPZg0bzkTEEDm&index=61&pp=iAQB&ab_channel=videosfromvincent,https://lovetheworkmore.com/1954-1999/,[Commercial] Kookai (Men in Toilet. Ooch).,videos from vincent,ok,
1990-diffuser-dryer-kambrook-diffuser-dryer,DIFFUSER DRYER,KAMBROOK DIFFUSER DRYER,THE CAMPAIGN PALACE SYDNEY,1990,low_title_match_and_low_ltwm_signal,0.125,0,https://www.youtube.com/watch?v=KJlGJ9Gmziw&ab_channel=AustralianTVClassics,https://lovetheworkmore.com/1954-1999/,Kambrook Hair Care (1989),AustralianTVClassics,ok,
1994-rucksack-woolworth-s,RUCKSACK,WOOLWORTH’S,BSB DORLAND LONDON,1994,low_title_match_and_low_ltwm_signal,0.1667,0,https://www.youtube.com/watch?v=7uRg-weTkvg,https://lovetheworkmore.com/1954-1999/,Woolworths ad (1994),Petarkco's Media Archive,ok,
1990-9-sprachen-norddeutscher-rundfunk,9 SPRACHEN,NORDDEUTSCHER RUNDFUNK,MARKENWERBUNG INTERNATIONAL,1990,low_title_match_and_low_ltwm_signal,0.1667,0,https://www.youtube.com/watch?v=DXG3y7fge4I&ab_channel=ADV,https://lovetheworkmore.com/1954-1999/,NDR | 1990,ADV,ok,
2025-bachelor-tv-show,BACHELOR,TV SHOW,STARLIGHTMEDIA KYIV,2025,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=fDp5aDsp5QM,https://lovetheworkmore.com/2025-2/,"Cannes Lions: СТБ нагородили за ""Холостяка"" в категорії “Різноманіття та інклюзивність”",Starlight Media,ok,
2023-standuptojewishhate-foundation-to-combat-antisemitism,#STANDUPTOJEWISHHATE,FOUNDATION TO COMBAT ANTISEMITISM,MINDSHARE NEW YORK,2023,low_title_match_vs_youtube,0,0.8,https://youtu.be/5FcbYSinaJs,https://lovetheworkmore.com/2023-2/,Stand Up To Jewish Hate Case,Just another ad nerd,ok,
2022-letters-for-a-law-fundaci-n-el-herbologo,LETTERS FOR A LAW,FUNDACIÓN EL HERBOLOGO,BBDO HUECHURABA,2022,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=VH6vOZbAQ8w&amp;ab_channel=AcontecendoAqui,https://lovetheworkmore.com/2022-2/,Leão de Ouro na Categoria Leões Farmacêuticos,Acontecendo Aqui,ok,
2019-a-little-company-apple-aspiration-perspiration-advertising-council-dentsu-tokyo-akuma-no-kimura-nissin-food-dentsu-,A LITTLE COMPANY,APPLE,,2019,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=8asak06DntE,https://lovetheworkmore.com/2019-2/,New Coca-Cola Happiness Factory Mini-Movie August 2007 TV,LifeCollector,ok,manual_fix
2019-sickkids-vs-crews-cossette-toronto,SICKKIDS VS: CREWS,SICKKIDS VS,COSSETTE TORONTO,2019,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=zhu_lm7vNyE,https://lovetheworkmore.com/2019-2/,Uber Eats 'Tea' TVC via Special,CBAustralia,ok,manual_fix
2019-video-2-nordea,VIDEO 2),NORDEA,PER HJ OSLO,2019,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=mOt5yzrjS6k&amp;ab_channel=JacksonMah,https://lovetheworkmore.com/2019-2/,Millennials in the Future 2,Jackson Mah,ok,
2018-blink-to-speak-tbwa-mumbai-evert-45-kpn-n-5-amsterdam-the-talk-p-g-bbdo-new-york-the-donald-j-trump-presidential-tw,BLINK TO SPEAK,BLINK TO SPEAK,TBWA MUMBAI,2018,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=IdrwWaC0YyQ,https://lovetheworkmore.com/2018-2/,'The Talk' by BBDO New York for P&G,adobo magazine,ok,
2018-conscience-qroma,CONSCIENCE,QROMA,DDB LIMA,2018,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=s2ddAznjqvU,https://lovetheworkmore.com/2018-2/,📊💰 Millions in Ad Spend: What This Case Study Really Reveals 🎯🔥,ClickMagnetPPC,ok,
2018-the-screamer-the-disruptor-biphentin,THE SCREAMER + THE DISRUPTOR,BIPHENTIN,HAVAS LYNX,2018,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=bmjyCmy3XB4,https://lovetheworkmore.com/2018-2/,Adzymic Case Study –  Mt Elizabeth Hospitals DCO campaign (Best in Programmatic Winner 2022/23),"Adzymic - Dynamic Creatives, Simplified",ok,
2017-sniff-lotte,SNIFF,LOTTE,DENTSU TOKYO,2017,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=N-IrEfgJfbc,https://lovetheworkmore.com/2017-2/,McDonald’s Revolutionary Smelling Ad: A Case Study in Sensory Marketing,FM Marketers,ok,
2017-the-conscious-crossing-kiwirail,THE CONSCIOUS CROSSING,KIWIRAIL,CLEMENGER BBDO MELBOURNE,2017,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=JCtoqC2b1ww&amp;ab_channel=PioneeringSpiritAwards,https://lovetheworkmore.com/2017-2/,Spikes Asia Festival of Creativity   20180123121252570,Pioneering Spirit Awards,ok,
2015-giant-footprints-sabin-vaccine-institute,GIANT FOOTPRINTS,SABIN VACCINE INSTITUTE,OGILVY & MATHER MUMBAI,2015,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=_e0CuH4dT58,https://lovetheworkmore.com/2015-2/,Hathipaon Case Study AV,Digitalclay Studios,ok,
2014-bringdowntheking-game-of-thrones-season-4-launch,BRINGDOWNTHEKING,GAME OF THRONES SEASON 4 LAUNCH,DDB AUCKLAND,2014,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=Ec1e-YFL6Gk&amp;ab_channel=DigitalNZ,https://lovetheworkmore.com/2014-2/,SKY: Bring Down the King,DigitalNZ,ok,
2014-no-interruptions-teleclub,NO INTERRUPTIONS,TELECLUB,Y&R SWITZERLAND,2014,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=AyZGTJouzII,https://lovetheworkmore.com/2014-2/,How Fevicol’s Genius Marketing Strategy Earned It $1 Billion? | Marketing Case Study | MyCaptain,MyCaptain,ok,
2013-coinoffers-mcdonald-s,COINOFFERS,MCDONALD’S,DDB COPENHAGEN,2013,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=U8_DrG0RFaw,https://lovetheworkmore.com/2013-2/,McDonalds CoinHunters,DDBDanmark,ok,
2013-tree-concert-friends-of-the-earth,TREE CONCERT,FRIENDS OF THE EARTH,KETCHUM PLEON BERLIN,2013,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=t6fRL_RPdi4,https://lovetheworkmore.com/2013-2/,Nature Protection: TreeConcert,adsoftheworldvideos,ok,
2012-jack-queen-king-ray-of-hope,"JACK, QUEEN, KING",RAY OF HOPE,LEO BURNETT SINGAPORE,2012,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=nsqrSaK7HCU,https://lovetheworkmore.com/2012-2/,NEVER FLYING SPIRIT AIRLINES AGAIN ‼️😤 #shorts,Jonquall,ok,
2012-ok-go-chevrolet-sonic,OK GO,CHEVROLET SONIC,GOODBY SILVERSTEIN AND PARTNERS SAN FRANSISCO,2012,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=MejbOFk7H6c&amp;ab_channel=OKGo,https://lovetheworkmore.com/2012-2/,OK Go - Needing/Getting - Official Video,OK Go,ok,
2011-chip-resistant-dinnerware-corelle-dinnerware,CHIP-RESISTANT DINNERWARE,CORELLE DINNERWARE,GREY CHINA,2011,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=PHSoG_rlAHk&amp;ab_channel=JodyXiong,https://lovetheworkmore.com/2011-2/,Vending Machine,Jody Xiong,ok,
2010-akatu-exclusive-beach-akatu,AKATU EXCLUSIVE BEACH,AKATU,TBWA SÃO PAULO,2010,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=AyZGTJouzII,https://lovetheworkmore.com/2010-2/,How Fevicol’s Genius Marketing Strategy Earned It $1 Billion? | Marketing Case Study | MyCaptain,MyCaptain,ok,
2010-arv-plectrums-rock4aids,ARV PLECTRUMS,ROCK4AIDS,JOE PUBLIC SHIFT JOHANNESBURG,2010,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=B7SEcMvXndk,https://lovetheworkmore.com/2010-2/,Guitar Pick/Plectrum Cutter/Maker,Etherhunter,ok,
2010-bovap-souza-barros,BOVAP,SOUZA BARROS,LIVEAD SÃO PAULO,2010,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=AyZGTJouzII,https://lovetheworkmore.com/2010-2/,How Fevicol’s Genius Marketing Strategy Earned It $1 Billion? | Marketing Case Study | MyCaptain,MyCaptain,ok,
2010-casting-playboy-magazine,CASTING,PLAYBOY MAGAZINE,GREY BUENOS AIRES,2010,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=xTe9YVyRvhU,https://lovetheworkmore.com/2010-2/,www.castingplayboy.com - English Version,mgrecio1,ok,
2010-t-mo-t-finissimas,T-MO-T,FINISSIMAS,MCCANN MADRID,2010,low_title_match_vs_youtube,0,0.2,https://www.youtube.com/watch?v=ACXakxxV0Ys&amp;ab_channel=SbenKaike,https://lovetheworkmore.com/2010-2/,Campofrío - Tmoty  / Revenge is a dish best served cold,Sben Kaike,ok,
